,title,author,pub_date,genre,book_summary
14537,Wolf: The Journey Home,'Asta Bowen,1997-01-13,Young adult literature,"Wolf: The Journey Home 'Asta Bowen Young adult literature  Marta, a black gray wolf, is alpha female in a small pack in Pleasant Valley, Montana, that consists of her mate, Calef, their three pups Rann, Sula, and Annie, and a seven-year-old wolf named Oldtooth. One morning Calef is killed by poachers, leaving Marta and Oldtooth to try to feed and raise the pups on their own. Though an experienced hunter, Oldtooth is unable to bring down large game as he lost most of his teeth chewing a steel leg trap off his leg years ago. Once the cubs are old enough"
9653,In Other Worlds,A. A. Attanasio,1985-01-01,Science Fiction,"In Other Worlds A. A. Attanasio Science Fiction  Carl Schirmer's life is transformed when he is turned into energy by an eighth-dimensional being and transported to a faraway world at the edge of a black hole. What follows is a thrilling ride similar to Flash Gordon involving a woman from the end of time, a man who can live off sunlight, and an alternate, paradisaical Earth in which World War II never happened."
2771,Radix,A. A. Attanasio,1981-01-01,Science Fiction,"Radix A. A. Attanasio Science Fiction  Radix is the story of a young man's odyssey of self-discovery, from dangerous adolescent to warrior, from outcast to near-god, in a far-future Earth dramatically changed from the one we know."
1584,The House at Pooh Corner,A. A. Milne,1928-01-01,Children's literature,"The House at Pooh Corner A. A. Milne Children's literature  The title comes from a story in which Winnie-the-Pooh and Piglet build a house for Eeyore. In another story the game of Poohsticks is invented. Hints that Christopher Robin is growing up, scattered throughout the book, come to a head in the final chapter, in which the inhabitants of the Hundred Acre Wood throw him a farewell party after learning that he must leave them for good soon. It is made obvious – though not stated explicitly – that he is starting school. In the end, as they say"
463,The Red House Mystery,A. A. Milne,1922-04-06,Mystery,"The Red House Mystery A. A. Milne Mystery  The setting is an English country house, where Mark Ablett has been entertaining a house party consisting of a widow and her marriageable daughter, a retired major, a wilful actress, and Bill Beverley, a young man about town. Mark's long-lost brother Robert, the black sheep of the family, arrives from Australia and shortly thereafter is found dead, shot through the head. Mark Ablett has disappeared, so Tony Gillingham, a stranger who has just arrived to call on his friend Bill, decides to"
1227,The Four Feathers,A. E. W. Mason,1902-01-01,Adventure novel,"The Four Feathers A. E. W. Mason Adventure novel  The novel tells the story of a British officer, Harry Feversham, who resigns from his commission in the East Surrey Regiment just prior to Sir Garnet Wolseley's 1882 expedition to Egypt to suppress the rising of Arabi Pasha. He is faced with censure from three of his comrades, Captain Trench as well as Lieutenants Castleton and Willoughby for cowardice, which is signified by the delivery of three white feathers to him. He loses support of his Irish fiancée, Ethne Eustace, who too presents him"
9851,The House of the Arrow,A. E. W. Mason,1924-01-01,Mystery,"The House of the Arrow A. E. W. Mason Mystery  When Boris Waberski, brother-in-law of the wealthy widow Mrs. Harlowe, attempts to talk her English solicitors into advancing him money on his expectations as her heir, he is ignored. Unknown to Waberski, he has been disinherited in favour of Betty Harlowe, the niece of Mrs. Harlowe's late husband. But when Mrs. Harlowe dies suddenly and Waberski accuses Betty of murder, junior partner Jim Frobisher is sent to the estate to find out what's really going on."
1391,The Voyage of the Space Beagle,A. E. van Vogt,1950-01-01,Science Fiction,"The Voyage of the Space Beagle A. E. van Vogt Science Fiction  The main protagonist of the novel is Dr. Elliott Grosvenor, the only Nexialist on board (a new discipline depicted as taking an actively generalist approach towards science). It is Grosvenor's training and application of Nexialism rather than the more narrow-minded approaches of the individual scientific and military minds of his other shipmates that consistently prove more effective against the hostile encounters both from outside and within the Space Beagle. He is eventually forced to take"
14423,The Wizard of Linn,A. E. van Vogt,1962-01-01,Science Fiction,"The Wizard of Linn A. E. van Vogt Science Fiction  A war between humanity and an extraterrestrial race, known as the Riss had led to the decay of the solar system, and the mutated human genius Clane Linn had defeated the hordes of the barbarian chief Czinczar, as described in the prequel. Linn repudiated Czinczar's exhortation to usurp control of the Linn Empire. After realizing the technological retardation of humanity, he conceives a plan to go on an interstellar expedition in search of technological restoration, to eventually rescue"
12089,Empire of the Atom,A. E. van Vogt,1957-01-01,Science Fiction,"Empire of the Atom A. E. van Vogt Science Fiction  The novel concerns adventures of a mutant genius in a barbaric future where spaceships and other forms of advanced technology are used without being understood, most knowledge having been destroyed in an atomic war with an alien species long before the opening of the story."
9314,Children of Tomorrow,A. E. van Vogt,1970-01-01,Science Fiction,"Children of Tomorrow A. E. van Vogt Science Fiction  Commander John Lane returns from a ten year mission in space to find that the teenagers of Spaceport City have organized themselves into ""outfits"", well disciplined, non-violent little gangs with their own customs and argot, and that the parent's role in teen upbringing has become minimal. His 16 year old daughter Susan belongs to the Red Cat Outfit, whose newest member Bud is actually a spy for the alien fleet that has secretly followed John Lane as he returned to Earth."
10296,Rogue Ship,A. E. van Vogt,1965-01-01,Science Fiction,"Rogue Ship A. E. van Vogt Science Fiction  Rogue Ship is a standalone novel in a form of a Fixup, because of its form of 3 short stories re-hashed into one, the reader can tell without difficulty when the story changes from one original short story to the next. Because of this, Rogue Ship can sometimes lose some continuity, as there are 'large gaps' in the plot/story line. Centaurus is the destination of the space ship, The Hope of Man. It has been traveling through space for almost twenty years, and still has nine years of flight"
1247,The World of Null-A,A. E. van Vogt,1948-01-01,Science Fiction,"The World of Null-A A. E. van Vogt Science Fiction  Gilbert Gosseyn, a man living in an apparent utopia where those with superior understanding and mental control rule the rest of humanity, wants to be tested by the giant Machine that determines such superiority. However, he finds that his memories are false. In his search for his real identity, he discovers that he has extra bodies that are activated when he dies (so that, in a sense, he cannot be killed), that a galactic society of humans exists outside the Solar system, a large interstellar"
11813,The Book of Ptath,A. E. van Vogt,1947-01-01,Science Fiction,The Book of Ptath A. E. van Vogt Science Fiction  The novel concerns a tank-battle casualty reincarnated as a dispossessed god-figure who struggles against one of his two consorts to re-establish his dominion in the far future Gondwanaland.
1818,Slan,A. E. van Vogt,1946-01-01,Science Fiction,"Slan A. E. van Vogt Science Fiction  Slans are evolved humans, named after their alleged creator, Samuel Lann. They have the psychic abilities to read minds and are super-intelligent. They possess near limitless stamina, ""nerves of steel"", and superior strength and speed. When Slans are ill or seriously injured, they go into a healing trance automatically. There are two kinds of Slans. One has tendrils and can read the minds of ordinary humans and telepathically communicate with other Slans. The tendrils are golden in colour,"
13721,The Universe Maker,A. E. van Vogt,1953-01-01,Science Fiction,"The Universe Maker A. E. van Vogt Science Fiction  Morton Cargill, Korean War soldier, accidentally kills a girl named Marie while driving drunk. He runs from the scene. A year later, he gets a letter from the girl asking to meet him. But this is not Marie, but a remote descendant from the future, who is suffering an inherited form of neurosis which time travelers, called 'The Shadows', have traced back to his negligent crime. The only therapy to cure her is if she witnesses him being murdered. He then wakes 400 years into the future, to the"
2261,The Weapon Shops of Isher,A. E. van Vogt,1951-01-01,Science Fiction,"The Weapon Shops of Isher A. E. van Vogt Science Fiction  The Weapon Shops of Isher and its sequel The Weapon Makers detail the workings of Isher civilization and the adventures of Robert Hedrock, The One Immortal Man, as he keeps it in balance in the face of attempts by the Weapon Makers, who have forgotten their purpose as a permanent opposition, and the strong government of the Empress, Innelda Isher, with its intimate connections to a network of financial institutions, to undermine each other. The Weapon Shops provide the populace with defensive"
3120,"England, Their England",A. G. Macdonell,1933-12-01,Satire,"England, Their England A. G. Macdonell Satire  Set in 1920s England, the book is written as if a travel memoir by a young Scotsman who had been invalided away from the Western Front, ""Donald Cameron"", whose father's will forces him to reside in England. There he writes for a series of London newspapers, before being commissioned by a Welshman to write a book about the English from the view of a foreigner. Taking to the country and provincial cities, Donald spends his time doing research for a book on the English by consorting with"
5122,The Stars Look Down,A. J. Cronin,1935-01-01,Novel,"The Stars Look Down A. J. Cronin Novel  The novel centres on three very different men: * David Fenwick comes from a mining family but is drawn towards politics, aspiring to help his people, and becomes a strong supporter of nationalisation. Initially, he finishes up his baccalaureate degree and is a teacher at a school for the children of miners. * Joe Gowlan begins as a miner, drifts and then becomes upwardly mobile as a bookie's assistant and a war-profiteer. * Arthur Barras is the son of Richard Barras, the unscrupulous owner of"
9652,The Spanish Gardener,A. J. Cronin,1950-01-01,Novel,"The Spanish Gardener A. J. Cronin Novel  A restrained, precise man, Brande has an elevated sense of his own importance, believing his qualities have been overlooked in a series of postings around Europe which have failed to result in promotion. His other abiding resentment is the failure of his marriage to his wife Marion, who left him when his dispassionate and obsessively controlling nature overwhelmed her. Brande’s paranoid need to be loved and respected are focused on his hobby, a manuscript on Malbranche, a French philosopher,"
8765,Shannon's Way,A. J. Cronin,1948-01-01,Novel,"Shannon's Way A. J. Cronin Novel  Robert trains to be a doctor at the fictional Levenford Infirmary (Levenford is loosely based on Dumbarton), and falls in love with Jean Law, a young medical student belonging to the Plymouth Brethren who rejects him when she discovers that he has deceived her about his history and religion (he is a Roman Catholic). He develops an interest in a disease contracted from infected cows' milk, and devotes his spare time to researching it: it turns out to be brucellosis. Dr. Shannon contracts a"
4636,Beyond This Place,A. J. Cronin,1953-01-01,Thriller,"Beyond This Place A. J. Cronin Thriller  Paul Mathry, a student about to graduate and embark upon a teaching career, finds out that his father was convicted for murder, a secret that his mother had hidden from him since his childhood. Driven by an intense desire to see his father, Paul sets out to visit him in prison, only to find out that visitors are never allowed there. From there, he meets the primary witnesses in the case that convicted his father, not all of whom are supportive to Paul's cause. He encounters several dead ends"
3265,The Citadel,A. J. Cronin,1937-01-01,Fiction,"The Citadel A. J. Cronin Fiction  In October 1921, Andrew Manson, an idealistic, newly qualified doctor, arrives from Scotland to work as assistant to Doctor Page in the small Welsh mining town of 'Drineffy'. He quickly realises that Page is an invalid and that he has to do all the work for a meagre wage. Shocked by the unsanitary conditions he finds, he works to improve matters and receives the support of Dr Philip Denny, a cynical semi-alcoholic. Resigning, he obtains a post as assistant in a miners' medical aid scheme in"
717,Hatter's Castle,A. J. Cronin,1931-01-01,Novel,"Hatter's Castle A. J. Cronin Novel  The novel begins with some insight into the life of the Brodie household, where James Brodie seems to have everyone under his thumb. The main event that triggers the events in the novel is Mary Brodie's relationship with her first love, Dennis. Early in the story, Mary, who has occasionally met Dennis at the library, is invited by him to go to the fair in the town. She sneaks out without her family's knowledge and not only goes to the fair, but later on that night kisses and eventually makes"
